epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2154.28,0.98863,1.41014,0.65584,1.04971,0.91597,0.87062,0.93493,0.69782,0.85093,0.80029,0.8512,0.57339,0.98683,1.51887,0.68086,1.04557,0.0018086,0.0018086,0.0018086
31,2225.79,1.01151,1.46468,0.67005,1.06121,0.89097,0.87516,0.927,0.65994,0.84879,0.79426,0.82628,0.5512,1.04535,1.49282,0.70433,1.07395,0.001802,0.001802,0.001802
32,2298.08,0.9973,1.4312,0.6725,1.06212,0.88812,0.88454,0.92219,0.68201,0.81813,0.81073,0.82356,0.55335,0.99769,1.52208,0.68726,1.06364,0.0017954,0.0017954,0.0017954
33,2368.68,0.99121,1.44561,0.66299,1.0574,0.90709,0.86002,0.92014,0.66442,0.83321,0.7793,0.81816,0.55268,1.07055,1.5881,0.71474,1.08471,0.0017888,0.0017888,0.0017888
34,2439.34,0.98344,1.39042,0.64675,1.04535,0.92051,0.88943,0.93519,0.7072,0.86635,0.82583,0.85194,0.58454,0.942,1.45674,0.63669,1.02673,0.0017822,0.0017822,0.0017822
35,2510.78,0.95847,1.42682,0.63342,1.03874,0.92771,0.87559,0.9322,0.70308,0.86632,0.80482,0.84747,0.58254,0.95715,1.48021,0.64723,1.03151,0.0017756,0.0017756,0.0017756
36,2581.62,0.9613,1.3849,0.66828,1.0442,0.92122,0.87538,0.9363,0.70499,0.86995,0.82495,0.85853,0.58226,0.94914,1.44333,0.64096,1.03236,0.001769,0.001769,0.001769
37,2652.63,0.9606,1.34475,0.63988,1.03836,0.91739,0.88422,0.93532,0.70235,0.85415,0.82104,0.84649,0.56962,0.96952,1.45338,0.6535,1.02172,0.0017624,0.0017624,0.0017624
38,2722.97,0.96245,1.35836,0.63059,1.03293,0.9239,0.87884,0.92754,0.70147,0.86927,0.81437,0.84559,0.58715,0.94959,1.52294,0.64965,1.01799,0.0017558,0.0017558,0.0017558
39,2793.51,0.97014,1.36804,0.66781,1.04472,0.90897,0.88142,0.92806,0.69084,0.85063,0.80766,0.82964,0.55011,0.99642,1.51827,0.70057,1.05873,0.0017492,0.0017492,0.0017492
40,2863.99,0.95611,1.35426,0.63089,1.03376,0.92146,0.8732,0.94117,0.71291,0.8584,0.80896,0.85194,0.57478,0.94827,1.51896,0.66797,1.04523,0.0017426,0.0017426,0.0017426
41,2934,0.94195,1.39007,0.6501,1.04144,0.91954,0.87777,0.92198,0.70354,0.8802,0.81706,0.8527,0.58406,0.92391,1.49095,0.66964,1.02478,0.001736,0.001736,0.001736
42,3004.41,0.94434,1.35761,0.62875,1.04116,0.90983,0.89204,0.93069,0.70536,0.85395,0.83492,0.85477,0.58994,0.93916,1.4682,0.64809,1.03035,0.0017294,0.0017294,0.0017294
43,3074.91,0.94319,1.36437,0.61808,1.0281,0.91439,0.87711,0.93745,0.70881,0.86066,0.81264,0.85069,0.57956,0.953,1.47242,0.65541,1.03842,0.0017228,0.0017228,0.0017228
44,3145.92,0.91683,1.33369,0.64688,1.01637,0.94167,0.89204,0.93993,0.71216,0.89348,0.84385,0.87076,0.60432,0.91918,1.42211,0.62163,1.00892,0.0017162,0.0017162,0.0017162
45,3216.48,0.96813,1.40893,0.65029,1.0478,0.92896,0.87424,0.93035,0.69309,0.87435,0.81447,0.8361,0.5717,0.96045,1.42482,0.66797,1.0148,0.0017096,0.0017096,0.0017096
46,3287.36,0.96639,1.3593,0.63826,1.04273,0.91905,0.87697,0.93354,0.71244,0.88351,0.82172,0.86964,0.5935,0.92419,1.39089,0.64364,1.02883,0.001703,0.001703,0.001703
47,3357.1,0.93638,1.26805,0.81919,1.03002,0.91296,0.89181,0.94074,0.72012,0.87404,0.83535,0.86735,0.60486,0.91457,1.32227,0.63125,1.01456,0.0016964,0.0016964,0.0016964
48,3428.3,0.94649,1.3328,0.62245,1.03166,0.92235,0.89182,0.93292,0.69727,0.87771,0.83795,0.86719,0.59022,0.94295,1.41572,0.64122,1.03361,0.0016898,0.0016898,0.0016898
49,3499.28,0.92587,1.30923,0.60432,1.01875,0.93618,0.89496,0.94824,0.73333,0.88519,0.83906,0.87027,0.60728,0.88846,1.36884,0.5945,0.99485,0.0016832,0.0016832,0.0016832
50,3569.67,0.94839,1.31201,0.61047,1.02518,0.91628,0.88641,0.92861,0.68727,0.87421,0.83059,0.85327,0.57861,0.96701,1.39791,0.67747,1.03061,0.0016766,0.0016766,0.0016766
51,3639.45,0.9155,1.2966,0.72838,1.01781,0.92995,0.89377,0.93385,0.7115,0.89165,0.84898,0.87561,0.60498,0.92677,1.42478,0.62954,1.00558,0.00167,0.00167,0.00167
52,3709.87,0.90375,1.2861,0.59518,1.01254,0.93786,0.89478,0.93493,0.72744,0.8812,0.83451,0.86217,0.6117,0.89568,1.40144,0.61339,0.99142,0.0016634,0.0016634,0.0016634
53,3780.27,0.8999,1.25814,0.58991,1.01587,0.93993,0.89717,0.94572,0.73461,0.90249,0.85158,0.89017,0.63312,0.87397,1.33039,0.60535,0.99936,0.0016568,0.0016568,0.0016568
54,3850.29,0.90361,1.25868,0.58681,1.01574,0.91944,0.88893,0.92713,0.70374,0.87497,0.82818,0.84773,0.59758,0.93731,1.4316,0.6464,1.01065,0.0016502,0.0016502,0.0016502
55,3922.02,0.90113,1.21865,0.58642,1.00669,0.94661,0.89528,0.94292,0.73179,0.90842,0.84772,0.88416,0.62424,0.88096,1.37351,0.60626,0.98952,0.0016436,0.0016436,0.0016436
56,3992.97,0.9011,1.25721,0.58838,1.01729,0.92345,0.89658,0.9403,0.72936,0.87398,0.84812,0.87407,0.61684,0.91904,1.40759,0.6022,0.99672,0.001637,0.001637,0.001637
57,4063.9,0.89368,1.25184,0.58403,1.01758,0.94111,0.90113,0.93923,0.73094,0.91301,0.85155,0.883,0.62258,0.87727,1.33693,0.6089,0.9923,0.0016304,0.0016304,0.0016304
58,4134.43,0.88096,1.24663,0.57675,1.00932,0.93749,0.90206,0.94966,0.73985,0.90709,0.85958,0.89856,0.63117,0.87499,1.34467,0.59552,1.00746,0.0016238,0.0016238,0.0016238
59,4205.26,0.88312,1.27026,0.57469,1.00861,0.91172,0.8893,0.93517,0.71339,0.8724,0.84184,0.868,0.6144,0.89876,1.35663,0.62327,1.0003,0.0016172,0.0016172,0.0016172
60,4276.21,0.92027,1.31969,0.61956,1.0403,0.92075,0.90069,0.94013,0.74155,0.89338,0.85915,0.888,0.63085,0.84802,1.3477,0.58804,0.98513,0.0016106,0.0016106,0.0016106
61,4346.21,0.87207,1.2078,0.56693,1.00773,0.94103,0.90459,0.95267,0.75527,0.90663,0.86261,0.90146,0.63801,0.84186,1.29441,0.57056,0.97556,0.001604,0.001604,0.001604
62,4416.76,0.87459,1.20768,0.56712,1.01094,0.93499,0.89961,0.93744,0.72283,0.89486,0.84892,0.87476,0.60885,0.90058,1.33877,0.60683,1.003,0.0015974,0.0015974,0.0015974
63,4487.45,0.87575,1.21013,0.56442,1.00528,0.95349,0.90524,0.9488,0.75138,0.90791,0.85324,0.88159,0.6328,0.8391,1.30761,0.56346,0.97301,0.0015908,0.0015908,0.0015908
64,4558.37,0.8875,1.25272,0.62288,1.00528,0.94897,0.89724,0.95159,0.7446,0.90863,0.8466,0.88972,0.64037,0.85225,1.32258,0.57076,0.9863,0.0015842,0.0015842,0.0015842
65,4629.08,0.87816,1.21056,0.56657,1.00855,0.93748,0.88887,0.93511,0.72359,0.89,0.83881,0.86502,0.60679,0.8981,1.3791,0.60286,0.999,0.0015776,0.0015776,0.0015776
66,4701.09,0.88923,1.23255,0.5756,1.00377,0.94182,0.89961,0.9496,0.75026,0.91307,0.85742,0.89629,0.63825,0.82584,1.27008,0.57041,0.97269,0.001571,0.001571,0.001571
67,4772.14,0.87755,1.21621,0.56324,1.00353,0.94974,0.89528,0.94383,0.73969,0.90664,0.84674,0.87859,0.6214,0.85939,1.32075,0.59309,0.98431,0.0015644,0.0015644,0.0015644
68,4841.95,0.87642,1.20257,0.58292,1.00766,0.92781,0.8942,0.94448,0.74547,0.89436,0.86196,0.89729,0.63888,0.84483,1.29968,0.57599,0.97971,0.0015578,0.0015578,0.0015578
69,4912.8,0.84845,1.16177,0.54677,0.99533,0.94675,0.90177,0.94976,0.75778,0.91548,0.8624,0.90074,0.64189,0.82135,1.24036,0.56369,0.98096,0.0015512,0.0015512,0.0015512
70,4983.78,0.85461,1.17808,0.554,0.99426,0.94078,0.90051,0.94183,0.74221,0.90298,0.8598,0.88843,0.6385,0.85772,1.26874,0.57515,0.98128,0.0015446,0.0015446,0.0015446
71,5054.25,0.83381,1.16338,0.53805,0.99101,0.93744,0.90069,0.95261,0.75777,0.90167,0.84942,0.8912,0.62196,0.82366,1.29147,0.55317,0.97334,0.001538,0.001538,0.001538
72,5124.15,0.85202,1.17512,0.55773,0.99781,0.93935,0.90146,0.93976,0.74568,0.89346,0.84639,0.86723,0.62143,0.81891,1.3577,0.58054,0.9747,0.0015314,0.0015314,0.0015314
73,5195.28,0.84149,1.19135,0.55188,0.99546,0.9527,0.89774,0.94123,0.74887,0.91043,0.84887,0.88168,0.62174,0.81908,1.33274,0.57322,0.97223,0.0015248,0.0015248,0.0015248
74,5265.87,0.84054,1.16718,0.54864,0.99588,0.93494,0.90459,0.94227,0.73869,0.90294,0.84617,0.87162,0.60364,0.85123,1.44815,0.5856,0.98069,0.0015182,0.0015182,0.0015182
75,5336.31,0.84552,1.15706,0.5439,0.98575,0.94544,0.9087,0.95284,0.76351,0.90182,0.85856,0.88947,0.64394,0.82703,1.29877,0.54935,0.95924,0.0015116,0.0015116,0.0015116
76,5407.09,0.82537,1.13886,0.93233,0.98185,0.93841,0.90653,0.94583,0.75264,0.90134,0.86579,0.89059,0.63423,0.82945,1.28421,0.57125,0.97487,0.001505,0.001505,0.001505
77,5477.12,0.82915,1.14953,0.53579,0.98717,0.93375,0.9061,0.94743,0.75954,0.89777,0.85353,0.88538,0.63757,0.82674,1.33389,0.56046,0.96353,0.0014984,0.0014984,0.0014984
78,5547.89,0.84151,1.17031,0.54218,0.99357,0.93262,0.90848,0.94539,0.75449,0.89913,0.86588,0.88556,0.63447,0.83066,1.31937,0.56702,0.97232,0.0014918,0.0014918,0.0014918
79,5618.22,0.86355,1.15773,0.54373,0.99352,0.94202,0.90342,0.95103,0.74187,0.90116,0.85461,0.88813,0.62932,0.86861,1.31205,0.57184,0.96822,0.0014852,0.0014852,0.0014852
80,5689.2,0.83966,1.13499,0.53625,0.98288,0.94077,0.90729,0.95368,0.77486,0.89971,0.85981,0.88923,0.63818,0.78462,1.27826,0.5419,0.95315,0.0014786,0.0014786,0.0014786
81,5759.88,0.83852,1.14029,0.54095,0.99226,0.93226,0.91,0.94863,0.753,0.88974,0.8611,0.88708,0.64138,0.81125,1.25638,0.56161,0.95675,0.001472,0.001472,0.001472
82,5829.53,0.84274,1.15194,0.54178,0.99746,0.94092,0.90891,0.93996,0.75336,0.89692,0.86067,0.87476,0.62765,0.82822,1.36762,0.58327,0.96996,0.0014654,0.0014654,0.0014654
83,5900.26,0.84884,1.13822,0.54392,0.99211,0.94233,0.90718,0.94543,0.75613,0.90928,0.86759,0.89467,0.63856,0.80071,1.26329,0.55566,0.96059,0.0014588,0.0014588,0.0014588
84,5970.93,0.81505,1.12016,0.52895,0.98298,0.94049,0.91021,0.95154,0.76789,0.89864,0.86701,0.89154,0.63055,0.79154,1.26776,0.54895,0.96446,0.0014522,0.0014522,0.0014522
85,6040.22,0.80682,1.10415,0.52022,0.97523,0.95029,0.91259,0.94738,0.76814,0.9169,0.8713,0.89648,0.64949,0.77548,1.25606,0.53766,0.95012,0.0014456,0.0014456,0.0014456
86,6110.2,0.80435,1.08593,0.52359,0.99026,0.94285,0.91024,0.95717,0.7803,0.90492,0.86687,0.90195,0.65492,0.77781,1.30113,0.53211,0.95056,0.001439,0.001439,0.001439
87,6181.22,0.83684,1.11891,0.53623,0.98847,0.93724,0.91259,0.94104,0.74779,0.9087,0.86785,0.88611,0.6381,0.82647,1.27316,0.56492,0.96741,0.0014324,0.0014324,0.0014324
88,6251.34,0.82276,1.1235,0.53107,0.98828,0.936,0.9087,0.94156,0.76891,0.90173,0.8691,0.89549,0.64794,0.78089,1.27212,0.55662,0.96075,0.0014258,0.0014258,0.0014258
89,6321.92,0.82677,1.12274,0.5297,0.98292,0.94879,0.906,0.9402,0.76025,0.90981,0.86456,0.88421,0.63681,0.80608,1.36767,0.56804,0.96253,0.0014192,0.0014192,0.0014192
90,6392.91,0.82471,1.12168,0.52663,0.98187,0.9519,0.90935,0.95362,0.77288,0.91115,0.85915,0.89261,0.64542,0.79296,1.25335,0.53529,0.94582,0.0014126,0.0014126,0.0014126
91,6464.37,0.82309,1.1052,0.52153,0.98073,0.952,0.91401,0.95752,0.7711,0.90929,0.87235,0.90078,0.65075,0.79167,1.23631,0.53015,0.9539,0.001406,0.001406,0.001406
92,6534.26,0.81819,1.10718,0.51923,0.98063,0.95726,0.91108,0.95664,0.77176,0.92196,0.8704,0.90302,0.65475,0.78364,1.23056,0.52107,0.9538,0.0013994,0.0013994,0.0013994
93,6604.35,0.81387,1.10315,0.51792,0.98524,0.95226,0.90783,0.95001,0.77383,0.91324,0.86781,0.89576,0.65172,0.77618,1.19998,0.5365,0.94352,0.0013928,0.0013928,0.0013928
94,6674.51,0.81136,1.08842,0.54286,0.97829,0.9572,0.91216,0.95788,0.7802,0.92443,0.87598,0.91206,0.66974,0.7809,1.20727,0.52503,0.94851,0.0013862,0.0013862,0.0013862
95,6745.49,0.80029,1.06299,0.51587,0.9817,0.95861,0.90826,0.95495,0.77988,0.92469,0.87399,0.90827,0.65714,0.76678,1.22542,0.52613,0.94404,0.0013796,0.0013796,0.0013796
96,6815.76,0.79088,1.07064,0.50268,0.97326,0.95404,0.91259,0.9515,0.77952,0.91671,0.87159,0.89554,0.65649,0.76453,1.2357,0.53001,0.94012,0.001373,0.001373,0.001373
97,6885.99,0.78946,1.05784,0.50448,0.96978,0.94802,0.91542,0.95493,0.78375,0.91376,0.87927,0.90634,0.66056,0.76191,1.20514,0.52198,0.93985,0.0013664,0.0013664,0.0013664
98,6956.37,0.80497,1.08178,0.51071,0.98086,0.95143,0.91112,0.95595,0.77863,0.91824,0.87233,0.90611,0.65786,0.77055,1.28456,0.52105,0.94105,0.0013598,0.0013598,0.0013598
99,7027.05,0.78855,1.061,0.5042,0.97165,0.94612,0.91942,0.95293,0.77161,0.91752,0.8785,0.9074,0.66637,0.78414,1.23043,0.52761,0.94225,0.0013532,0.0013532,0.0013532
100,7097.46,0.80018,1.06796,0.50899,0.9778,0.95894,0.91466,0.95765,0.78315,0.92739,0.87516,0.90955,0.66221,0.76665,1.23856,0.51532,0.94486,0.0013466,0.0013466,0.0013466
101,7167.79,0.79273,1.07205,0.50827,0.9752,0.9556,0.91714,0.95831,0.78735,0.91862,0.88144,0.90781,0.66042,0.76567,1.23436,0.52318,0.94523,0.00134,0.00134,0.00134
102,7238.42,0.78901,1.07975,0.50388,0.97123,0.95627,0.91432,0.9582,0.78628,0.93019,0.87347,0.90958,0.66866,0.75585,1.22172,0.50501,0.93844,0.0013334,0.0013334,0.0013334
103,7309.33,0.7901,1.07848,0.50809,0.96584,0.95079,0.91519,0.95419,0.77138,0.92355,0.87559,0.90555,0.66113,0.78505,1.24784,0.52709,0.94656,0.0013268,0.0013268,0.0013268
104,7379.68,0.79218,1.06525,0.50572,0.97632,0.9515,0.91778,0.95829,0.77408,0.91888,0.8798,0.90797,0.65183,0.78582,1.25814,0.53016,0.95124,0.0013202,0.0013202,0.0013202
105,7450.09,0.78662,1.06551,0.50573,0.97084,0.95829,0.91649,0.95853,0.77956,0.92504,0.88468,0.91616,0.67567,0.78197,1.22592,0.52275,0.94988,0.0013136,0.0013136,0.0013136
106,7520.1,0.79937,1.11079,0.51687,0.97371,0.95718,0.91108,0.96058,0.79119,0.9198,0.8685,0.90465,0.66695,0.7605,1.24917,0.52113,0.93966,0.001307,0.001307,0.001307
107,7590.51,0.78646,1.0781,0.50635,0.96855,0.95547,0.9146,0.95938,0.78399,0.92738,0.87603,0.91148,0.66983,0.76811,1.18653,0.51325,0.94079,0.0013004,0.0013004,0.0013004
108,7660.06,0.80826,1.07942,0.51505,0.98499,0.95361,0.91302,0.95358,0.77542,0.91295,0.86348,0.89172,0.64764,0.77683,1.21504,0.529,0.93873,0.0012938,0.0012938,0.0012938
109,7730.6,0.77423,1.05427,0.49632,0.96624,0.94974,0.91324,0.94912,0.78079,0.92008,0.88171,0.90909,0.66027,0.76429,1.24431,0.52723,0.94151,0.0012872,0.0012872,0.0012872
110,7800.87,0.82214,1.09392,0.53637,1.00087,0.94935,0.91887,0.95631,0.77532,0.92744,0.88499,0.91753,0.6771,0.78907,1.20152,0.53112,0.94817,0.0012806,0.0012806,0.0012806
111,7871.51,0.78303,1.03736,0.50979,0.96471,0.95065,0.91497,0.95638,0.79127,0.92729,0.88852,0.91645,0.6718,0.72732,1.14588,0.49282,0.92859,0.001274,0.001274,0.001274
112,7942.86,0.76758,1.03214,0.4897,0.96285,0.94912,0.91214,0.94992,0.77825,0.9272,0.87971,0.91231,0.6692,0.74798,1.15486,0.50574,0.93112,0.0012674,0.0012674,0.0012674
113,8013.73,0.76696,1.02323,0.49043,0.95997,0.95509,0.91151,0.95103,0.7842,0.93132,0.88057,0.90917,0.66491,0.74193,1.19653,0.51599,0.93076,0.0012608,0.0012608,0.0012608
114,8084.64,0.76682,1.03443,0.48821,0.96332,0.95037,0.91476,0.94941,0.78408,0.9208,0.8862,0.90924,0.67122,0.75059,1.23161,0.51336,0.93229,0.0012542,0.0012542,0.0012542
115,8155.78,0.78141,1.05698,0.49352,0.964,0.95147,0.91367,0.94699,0.7752,0.9118,0.87127,0.89282,0.65705,0.74972,1.25798,0.5307,0.93539,0.0012476,0.0012476,0.0012476
116,8225.48,0.77516,1.03687,0.49668,0.96386,0.95522,0.91086,0.94939,0.785,0.92011,0.87538,0.90154,0.65599,0.73913,1.22123,0.5059,0.92939,0.001241,0.001241,0.001241
117,8295.38,0.78415,1.04066,0.50257,0.96935,0.94146,0.91505,0.93883,0.77489,0.91318,0.88067,0.89279,0.65242,0.74037,1.23262,0.52153,0.93444,0.0012344,0.0012344,0.0012344
118,8365.65,0.7704,1.0352,0.49652,0.96895,0.95966,0.90762,0.96052,0.79082,0.93311,0.87971,0.91797,0.6807,0.7382,1.16236,0.51095,0.94132,0.0012278,0.0012278,0.0012278
119,8435.88,0.76713,1.04701,0.49069,0.96628,0.95118,0.91052,0.95024,0.78286,0.92945,0.88187,0.91496,0.66461,0.7473,1.16281,0.50616,0.93095,0.0012212,0.0012212,0.0012212
120,8505.76,0.77487,1.03336,0.49435,0.97359,0.95425,0.91367,0.96262,0.78871,0.91842,0.87495,0.90837,0.65925,0.75233,1.16621,0.4979,0.93177,0.0012146,0.0012146,0.0012146
121,8576.49,0.76136,1.01961,0.49232,0.96359,0.94881,0.91836,0.94796,0.79263,0.92612,0.88686,0.90797,0.6724,0.71805,1.18173,0.50949,0.92596,0.001208,0.001208,0.001208
122,8645.81,0.76148,1.03263,0.48486,0.96369,0.95371,0.91822,0.95642,0.78947,0.93331,0.88413,0.91324,0.66864,0.73272,1.17712,0.50068,0.92961,0.0012014,0.0012014,0.0012014
123,8715.84,0.77712,1.03666,0.49647,0.97023,0.95137,0.9154,0.96131,0.79882,0.92494,0.88518,0.9208,0.67472,0.72285,1.15155,0.4972,0.92489,0.0011948,0.0011948,0.0011948
